word,log_odds,z_score,count_site1,count_site2,count_total,is_significant
comment,1.5429,2.8346,19,4,23,True
suspect,1.5429,2.8346,19,4,23,True
alaska,1.5429,2.8346,19,4,23,True
patriot,1.2915,2.8238,22,6,28,True
unsatisfied,2.748,2.7936,17,1,18,True
yuri,2.748,2.7936,17,1,18,True
grandfather,2.041,2.7819,16,2,18,True
beat,1.7118,2.7731,17,3,20,True
guy,1.7118,2.7731,17,3,20,True
donetsk,1.0579,2.748,26,9,35,True
fire,0.9681,2.7441,29,11,40,True
population,0.7437,2.7431,42,20,62,True
town,1.9769,2.6842,15,2,17,True
tomahawks,1.9769,2.6842,15,2,17,True
textbook,1.9769,2.6842,15,2,17,True
old,0.6548,2.6593,48,25,73,True
proposal,1.3246,2.6575,19,5,24,True
orban,2.6235,2.6565,15,1,16,True
blow,1.1397,2.6419,22,7,29,True
accord,0.6951,2.6061,42,21,63,True
care,1.1966,2.5886,20,6,26,True
kind,0.8269,2.5883,32,14,46,True
cry,2.555,2.5809,14,1,15,True
daughter,1.9083,2.58,14,2,16,True
famous,1.9083,2.58,14,2,16,True
bilateral,1.9083,2.58,14,2,16,True
big,1.0522,2.5766,23,8,31,True
report,0.695,2.543,40,20,60,True
willing,1.2708,2.5349,18,5,23,True
delay,1.2708,2.5349,18,5,23,True
hero,1.2708,2.5349,18,5,23,True
release,1.0933,2.52,21,7,28,True
cut,0.8968,2.5166,27,11,38,True
body,0.6711,2.5057,41,21,62,True
emmanuel,2.4814,2.4997,13,1,14,True
district,2.4814,2.4997,13,1,14,True
macron,2.4814,2.4997,13,1,14,True
epstein,2.4814,2.4997,13,1,14,True
kiev,7.8935,2.4957,265,0,265,True
representative,0.6948,2.4783,38,19,57,True
understandable,1.8348,2.4683,13,2,15,True
spirit,1.1455,2.4631,19,6,25,True
son,1.1455,2.4631,19,6,25,True
normal,2.402,2.412,12,1,13,True
bastard,2.402,2.412,12,1,13,True
tear,2.402,2.412,12,1,13,True
burn,2.402,2.412,12,1,13,True
poland,0.9357,2.3908,23,9,32,True
drone,0.4973,2.3544,59,36,95,True
budapest,1.3078,2.3484,15,4,19,True
listen,1.3078,2.3484,15,4,19,True
accuse,1.3078,2.3484,15,4,19,True
joke,1.7553,2.3481,12,2,14,True
diplomat,1.7553,2.3481,12,2,14,True
assurance,1.7553,2.3481,12,2,14,True
france,0.8738,2.3312,24,10,34,True
capital,0.9615,2.3263,21,8,29,True
ban,0.9615,2.3263,21,8,29,True
girlfriend,2.3157,2.3166,11,1,12,True
hungarian,2.3157,2.3166,11,1,12,True
sbu,2.3157,2.3166,11,1,12,True
bloody,2.3157,2.3166,11,1,12,True
teach,1.4453,2.2883,13,3,16,True
reuters,7.1388,2.2566,125,0,125,True
question,0.4842,2.2223,55,34,89,True
interesting,1.669,2.2179,11,2,13,True
difference,1.669,2.2179,11,2,13,True
lift,1.669,2.2179,11,2,13,True
track,1.669,2.2179,11,2,13,True
surprised,2.2212,2.2123,10,1,11,True
canal,2.2212,2.2123,10,1,11,True
parade,2.2212,2.2123,10,1,11,True
dmitry,2.2212,2.2123,10,1,11,True
catch,1.2392,2.2086,14,4,18,True
task,0.8314,2.2041,23,10,33,True
fact,0.4508,2.201,61,39,100,True
kill,0.5621,2.2006,42,24,66,True
peaceful,1.0349,2.1943,17,6,23,True
hour,0.913,2.1937,20,8,28,True
administration,0.7311,2.1726,27,13,40,True
ready,0.5748,2.1598,39,22,61,True
square,1.3658,2.1456,12,3,15,True
publication,1.3658,2.1456,12,3,15,True
unlikely,1.3658,2.1456,12,3,15,True
recall,1.3658,2.1456,12,3,15,True
lavrov,1.3658,2.1456,12,3,15,True
statement,0.5288,2.1412,44,26,70,True
read,0.8451,2.1309,21,9,30,True
dozen,0.8451,2.1309,21,9,30,True
disrupt,1.0895,2.1273,15,5,20,True
discuss,0.634,2.1175,32,17,49,True
allege,2.117,2.0972,9,1,10,True
sophia,2.117,2.0972,9,1,10,True
character,2.117,2.0972,9,1,10,True
coast,2.117,2.0972,9,1,10,True
pokrovsk,2.117,2.0972,9,1,10,True
shit,2.117,2.0972,9,1,10,True
michael,2.117,2.0972,9,1,10,True
parliamentarian,2.117,2.0972,9,1,10,True
apos,6.6138,2.09,74,0,74,True
russians,0.366,2.0857,79,55,134,True
diplomatic,0.5686,2.0852,37,21,58,True
sabotage,1.5746,2.0762,10,2,12,True
deprive,1.5746,2.0762,10,2,12,True
smart,1.5746,2.0762,10,2,12,True
insult,1.5746,2.0762,10,2,12,True
previous,1.5746,2.0762,10,2,12,True
warm,1.5746,2.0762,10,2,12,True
trick,1.5746,2.0762,10,2,12,True
assistant,1.5746,2.0762,10,2,12,True
young,0.7871,2.0725,22,10,32,True
respond,0.7871,2.0725,22,10,32,True
position,0.4355,2.0653,57,37,94,True
fighting,1.1656,2.0598,13,4,17,True
nazi,1.1656,2.0598,13,4,17,True
aware,1.1656,2.0598,13,4,17,True
surrender,0.9746,2.0498,16,6,22,True
news,0.6935,2.048,26,13,39,True
sign,0.5838,2.0427,34,19,53,True
idea,0.6299,2.04,30,16,46,True
take,0.381,2.035,70,48,118,True
ceasefire,0.737,2.018,23,11,34,True
truce,6.3527,2.0071,57,0,57,True
settlement,0.6575,2.0023,27,14,41,True
money,0.6023,2.0006,31,17,48,True
cease,1.2795,1.9918,11,3,14,True
lithuania,0.883,1.9779,17,7,24,True
sure,0.883,1.9779,17,7,24,True
euro,1.021,1.9758,14,5,19,True
intend,1.021,1.9758,14,5,19,True
failure,2.0005,1.9687,8,1,9,True
minute,2.0005,1.9687,8,1,9,True
diaspora,2.0005,1.9687,8,1,9,True
dog,2.0005,1.9687,8,1,9,True
phone,2.0005,1.9687,8,1,9,True
worthy,2.0005,1.9687,8,1,9,True
poor,2.0005,1.9687,8,1,9,True
betray,2.0005,1.9687,8,1,9,True
hang,2.0005,1.9687,8,1,9,True
germans,2.0005,1.9687,8,1,9,True
lucky,2.0005,1.9687,8,1,9,True
ermak,6.2015,1.9591,49,0,49,False
usurpor,6.1599,1.9459,47,0,47,False
arrival,1.4703,1.9206,9,2,11,False
mikhail,1.4703,1.9206,9,2,11,False
fascism,1.4703,1.9206,9,2,11,False
guest,1.4703,1.9206,9,2,11,False
explosive,1.4703,1.9206,9,2,11,False
hysterical,1.4703,1.9206,9,2,11,False
date,1.4703,1.9206,9,2,11,False
train,1.4703,1.9206,9,2,11,False
attitude,1.4703,1.9206,9,2,11,False
let,0.5046,1.9134,38,23,61,False
channel,0.8081,1.9116,18,8,26,False
zelena,6.0475,1.9101,42,0,42,False
caucasus,1.0862,1.9008,12,4,16,False
tomorrow,1.0862,1.9008,12,4,16,False
sea,0.9104,1.8977,15,6,21,False
germany,0.6199,1.8755,26,14,40,False
sanction,0.4187,1.8694,50,33,83,False
region,0.3323,1.8636,75,54,129,False
callas,5.8936,1.8611,36,0,36,False
possible,0.4087,1.8484,51,34,85,False
outcome,0.6507,1.8336,23,12,35,False
total,0.6507,1.8336,23,12,35,False
version,0.8227,1.8263,16,7,23,False
threaten,0.8227,1.8263,16,7,23,False
brussels,0.8227,1.8263,16,7,23,False
french,1.1851,1.8252,10,3,13,False
walk,1.1851,1.8252,10,3,13,False
donbas,1.1851,1.8252,10,3,13,False
car,1.1851,1.8252,10,3,13,False
composition,1.8687,1.8237,7,1,8,False
julia,1.8687,1.8237,7,1,8,False
hypothetical,1.8687,1.8237,7,1,8,False
fool,1.8687,1.8237,7,1,8,False
fascist,1.8687,1.8237,7,1,8,False
sleep,1.8687,1.8237,7,1,8,False
sad,1.8687,1.8237,7,1,8,False
detain,1.8687,1.8237,7,1,8,False
influential,1.8687,1.8237,7,1,8,False
ursula,1.8687,1.8237,7,1,8,False
bandit,5.7761,1.8237,32,0,32,False
drag,1.8687,1.8237,7,1,8,False
starmer,1.8687,1.8237,7,1,8,False
der,1.8687,1.8237,7,1,8,False
shake,1.8687,1.8237,7,1,8,False
oppose,1.8687,1.8237,7,1,8,False
dnipropetrovsk,1.8687,1.8237,7,1,8,False
red,0.9474,1.8151,13,5,18,False
count,0.9474,1.8151,13,5,18,False
exchange,0.6922,1.7948,20,10,30,False
great,0.3815,1.7895,54,37,91,False
buy,0.7512,1.7612,17,8,25,False
deal,0.5358,1.7583,29,17,46,False
times,1.3539,1.7484,8,2,10,False
joy,1.3539,1.7484,8,2,10,False
blockade,1.3539,1.7484,8,2,10,False
eve,1.3539,1.7484,8,2,10,False
doctor,1.3539,1.7484,8,2,10,False
portnov,5.5299,1.7452,25,0,25,False
rubio,5.5299,1.7452,25,0,25,False
small,0.6464,1.7433,21,11,32,False
country,0.1912,1.7379,182,151,333,False
afraid,0.8419,1.7372,14,6,20,False
compromise,0.8419,1.7372,14,6,20,False
direction,0.8419,1.7372,14,6,20,False
zelinski,5.4892,1.7323,24,0,24,False
ukrainen,5.4892,1.7323,24,0,24,False
secret,0.9999,1.7302,11,4,15,False
notice,0.9999,1.7302,11,4,15,False
age,0.9999,1.7302,11,4,15,False
win,0.5127,1.7238,30,18,48,False
die,0.6064,1.6957,22,12,34,False
vitaly,5.3076,1.6743,20,0,20,False
half,0.7586,1.6671,15,7,22,False
lviv,0.7586,1.6671,15,7,22,False
scream,1.7169,1.6574,6,1,7,False
weird,1.7169,1.6574,6,1,7,False
favour,1.7169,1.6574,6,1,7,False
rate,1.7169,1.6574,6,1,7,False
planet,1.7169,1.6574,6,1,7,False
azerbaijanis,1.7169,1.6574,6,1,7,False
baku,1.7169,1.6574,6,1,7,False
prospect,1.7169,1.6574,6,1,7,False
rutte,1.7169,1.6574,6,1,7,False
noteworthy,1.7169,1.6574,6,1,7,False
card,1.7169,1.6574,6,1,7,False
ship,1.7169,1.6574,6,1,7,False
bind,1.7169,1.6574,6,1,7,False
estonian,1.7169,1.6574,6,1,7,False
dig,1.7169,1.6574,6,1,7,False
star,1.7169,1.6574,6,1,7,False
reply,1.7169,1.6574,6,1,7,False
nice,1.7169,1.6574,6,1,7,False
distract,1.7169,1.6574,6,1,7,False
blogger,1.7169,1.6574,6,1,7,False
realize,0.6412,1.648,19,10,29,False
remove,0.8679,1.644,12,5,17,False
husband,0.8679,1.644,12,5,17,False
veteran,1.0808,1.6435,9,3,12,False
prohibit,1.0808,1.6435,9,3,12,False
tired,1.0808,1.6435,9,3,12,False
formula,1.0808,1.6435,9,3,12,False
flow,1.0808,1.6435,9,3,12,False
kim,5.2028,1.6407,18,0,18,False
usurper,5.1459,1.6225,17,0,17,False
kai,5.1459,1.6225,17,0,17,False
comedant,5.1459,1.6225,17,0,17,False
sergei,5.1459,1.6225,17,0,17,False
chancellor,5.1459,1.6225,17,0,17,False
peacemaker,5.1459,1.6225,17,0,17,False
comedian,5.1459,1.6225,17,0,17,False
example,0.3758,1.6125,45,31,76,False
regional,0.5401,1.6108,24,14,38,False
complete,0.691,1.604,16,8,24,False
couple,5.0856,1.6032,16,0,16,False
parubia,5.0856,1.6032,16,0,16,False
marco,5.0856,1.6032,16,0,16,False
boy,5.0215,1.5827,15,0,15,False
nikolaev,5.0215,1.5827,15,0,15,False
umerov,5.0215,1.5827,15,0,15,False
throw,5.0215,1.5827,15,0,15,False
merz,5.0215,1.5827,15,0,15,False
status,0.7683,1.5674,13,6,19,False
link,0.7683,1.5674,13,6,19,False
ignore,0.7683,1.5674,13,6,19,False
andry,4.9529,1.5607,14,0,14,False
happy,4.9529,1.5607,14,0,14,False
comrade,4.9529,1.5607,14,0,14,False
coffer,4.9529,1.5607,14,0,14,False
hermak,4.9529,1.5607,14,0,14,False
kellogg,4.9529,1.5607,14,0,14,False
casualty,1.2221,1.5558,7,2,9,False
admire,1.2221,1.5558,7,2,9,False
job,1.2221,1.5558,7,2,9,False
pull,1.2221,1.5558,7,2,9,False
wife,1.2221,1.5558,7,2,9,False
brother,1.2221,1.5558,7,2,9,False
introduce,1.2221,1.5558,7,2,9,False
demonstration,1.2221,1.5558,7,2,9,False
quiet,1.2221,1.5558,7,2,9,False
prepared,1.2221,1.5558,7,2,9,False
patience,1.2221,1.5558,7,2,9,False
feed,1.2221,1.5558,7,2,9,False
contain,1.2221,1.5558,7,2,9,False
interested,0.9055,1.5463,10,4,14,False
send,0.4406,1.5394,31,20,51,False
tass,4.8793,1.5371,13,0,13,False
zahar,4.8793,1.5371,13,0,13,False
officer,4.8793,1.5371,13,0,13,False
steal,4.8793,1.5371,13,0,13,False
idiot,4.7999,1.5116,12,0,12,False
inhabitant,4.7999,1.5116,12,0,12,False
traitor,4.7999,1.5116,12,0,12,False
provocation,4.7999,1.5116,12,0,12,False
prilequin,4.7999,1.5116,12,0,12,False
west,0.3243,1.5037,51,37,88,False
raise,0.6901,1.4995,14,7,21,False
water,0.6901,1.4995,14,7,21,False
death,0.5874,1.4955,18,10,28,False
ermaca,4.7136,1.4839,11,0,11,False
transdniestria,4.7136,1.4839,11,0,11,False
keith,4.7136,1.4839,11,0,11,False
hat,4.7136,1.4839,11,0,11,False
killer,4.7136,1.4839,11,0,11,False
sorry,4.7136,1.4839,11,0,11,False
ivanov,4.7136,1.4839,11,0,11,False
dialogue,0.4977,1.4726,23,14,37,False
primitive,1.5378,1.4628,5,1,6,False
migrant,1.5378,1.4628,5,1,6,False
transaction,1.5378,1.4628,5,1,6,False
kaliningrad,1.5378,1.4628,5,1,6,False
split,1.5378,1.4628,5,1,6,False
celebrate,1.5378,1.4628,5,1,6,False
scared,1.5378,1.4628,5,1,6,False
invent,1.5378,1.4628,5,1,6,False
neighbouring,1.5378,1.4628,5,1,6,False
scene,1.5378,1.4628,5,1,6,False
permission,1.5378,1.4628,5,1,6,False
painful,1.5378,1.4628,5,1,6,False
boast,1.5378,1.4628,5,1,6,False
deadline,1.5378,1.4628,5,1,6,False
senseless,1.5378,1.4628,5,1,6,False
province,1.5378,1.4628,5,1,6,False
advice,1.5378,1.4628,5,1,6,False
mood,1.5378,1.4628,5,1,6,False
tale,1.5378,1.4628,5,1,6,False
warrior,1.5378,1.4628,5,1,6,False
humiliating,1.5378,1.4628,5,1,6,False
greatness,1.5378,1.4628,5,1,6,False
inertia,1.5378,1.4628,5,1,6,False
outside,1.5378,1.4628,5,1,6,False
friday,1.5378,1.4628,5,1,6,False
friendship,1.5378,1.4628,5,1,6,False
violent,1.5378,1.4628,5,1,6,False
outrage,1.5378,1.4628,5,1,6,False
pack,1.5378,1.4628,5,1,6,False
rock,1.5378,1.4628,5,1,6,False
spot,1.5378,1.4628,5,1,6,False
movie,1.5378,1.4628,5,1,6,False
patient,1.5378,1.4628,5,1,6,False
pause,1.5378,1.4628,5,1,6,False
memorandum,0.7816,1.4612,11,5,16,False
aircraft,0.7816,1.4612,11,5,16,False
repeat,0.7816,1.4612,11,5,16,False
polish,0.7816,1.4612,11,5,16,False
israel,0.7816,1.4612,11,5,16,False
record,0.7816,1.4612,11,5,16,False
sell,0.7816,1.4612,11,5,16,False
shooter,4.6192,1.4535,10,0,10,False
premier,4.6192,1.4535,10,0,10,False
robert,4.6192,1.4535,10,0,10,False
ushakov,4.6192,1.4535,10,0,10,False
eat,4.6192,1.4535,10,0,10,False
sibig,4.6192,1.4535,10,0,10,False
hot,4.6192,1.4535,10,0,10,False
parubius,4.6192,1.4535,10,0,10,False
osg,4.6192,1.4535,10,0,10,False
freak,4.6192,1.4535,10,0,10,False
shot,4.6192,1.4535,10,0,10,False
degree,4.6192,1.4535,10,0,10,False
rustem,4.6192,1.4535,10,0,10,False
whitkoff,4.6192,1.4535,10,0,10,False
svr,4.6192,1.4535,10,0,10,False
format,0.9644,1.444,8,3,11,False
dark,0.9644,1.444,8,3,11,False
withdraw,0.9644,1.444,8,3,11,False
hop,0.9644,1.444,8,3,11,False
murderer,0.9644,1.444,8,3,11,False
petersburg,0.9644,1.444,8,3,11,False
citizenship,0.9644,1.444,8,3,11,False
compensation,0.9644,1.444,8,3,11,False
expect,0.4715,1.4367,24,15,39,False
happen,0.3117,1.4217,49,36,85,False
retired,4.5149,1.42,9,0,9,False
dad,4.5149,1.42,9,0,9,False
tcc,4.5149,1.42,9,0,9,False
peter,4.5149,1.42,9,0,9,False
photobank,4.5149,1.42,9,0,9,False
chikatilo,4.5149,1.42,9,0,9,False
narco,4.5149,1.42,9,0,9,False
shut,4.5149,1.42,9,0,9,False
britain,4.5149,1.42,9,0,9,False
fitzo,4.5149,1.42,9,0,9,False
odessa,4.5149,1.42,9,0,9,False
maya,4.5149,1.42,9,0,9,False
nikolai,4.5149,1.42,9,0,9,False
declare,0.5115,1.4058,20,12,32,False
treaty,0.6889,1.3872,12,6,18,False
vice,0.6889,1.3872,12,6,18,False
hatred,0.6889,1.3872,12,6,18,False
refuse,0.5745,1.3853,16,9,25,False
love,0.5745,1.3853,16,9,25,False
swear,4.3984,1.3824,8,0,8,False
cancel,4.3984,1.3824,8,0,8,False
cyril,4.3984,1.3824,8,0,8,False
segment,4.3984,1.3824,8,0,8,False
nuance,4.3984,1.3824,8,0,8,False
sniff,4.3984,1.3824,8,0,8,False
petrovich,4.3984,1.3824,8,0,8,False
concert,4.3984,1.3824,8,0,8,False
pensioner,4.3984,1.3824,8,0,8,False
meantime,4.3984,1.3824,8,0,8,False
ash,4.3984,1.3824,8,0,8,False
jermak,4.3984,1.3824,8,0,8,False
turk,4.3984,1.3824,8,0,8,False
mama,4.3984,1.3824,8,0,8,False
alive,4.3984,1.3824,8,0,8,False
lyskun,4.3984,1.3824,8,0,8,False
maydan,4.3984,1.3824,8,0,8,False
rendezvous,4.3984,1.3824,8,0,8,False
pope,4.3984,1.3824,8,0,8,False
foot,4.3984,1.3824,8,0,8,False
clown,4.3984,1.3824,8,0,8,False
stephen,4.3984,1.3824,8,0,8,False
leave,0.3135,1.3695,45,33,78,False
movement,0.8012,1.347,9,4,13,False
closed,4.2667,1.3398,7,0,7,False
aliev,4.2667,1.3398,7,0,7,False
favorite,4.2667,1.3398,7,0,7,False
zelen,4.2667,1.3398,7,0,7,False
zelenski,4.2667,1.3398,7,0,7,False
leg,4.2667,1.3398,7,0,7,False
screen,4.2667,1.3398,7,0,7,False
shanghai,4.2667,1.3398,7,0,7,False
greene,4.2667,1.3398,7,0,7,False
sister,4.2667,1.3398,7,0,7,False
sweet,4.2667,1.3398,7,0,7,False
grader,4.2667,1.3398,7,0,7,False
konstantinovka,4.2667,1.3398,7,0,7,False
commeditant,4.2667,1.3398,7,0,7,False
puddle,4.2667,1.3398,7,0,7,False
vladimirovna,4.2667,1.3398,7,0,7,False
piss,4.2667,1.3398,7,0,7,False
tsc,4.2667,1.3398,7,0,7,False
evacuate,4.2667,1.3398,7,0,7,False
slucheite,4.2667,1.3398,7,0,7,False
mess,4.2667,1.3398,7,0,7,False
drug,4.2667,1.3398,7,0,7,False
interceptor,4.2667,1.3398,7,0,7,False
delayed,4.2667,1.3398,7,0,7,False
ninth,4.2667,1.3398,7,0,7,False
sultan,4.2667,1.3398,7,0,7,False
zacharova,4.2667,1.3398,7,0,7,False
boudanov,4.2667,1.3398,7,0,7,False
maniac,4.2667,1.3398,7,0,7,False
coach,4.2667,1.3398,7,0,7,False
humiliate,4.2667,1.3398,7,0,7,False
blame,4.2667,1.3398,7,0,7,False
gun,4.2667,1.3398,7,0,7,False
funny,4.2667,1.3398,7,0,7,False
kotz,4.2667,1.3398,7,0,7,False
put,1.0702,1.3377,6,2,8,False
miss,1.0702,1.3377,6,2,8,False
consciousness,1.0702,1.3377,6,2,8,False
original,1.0702,1.3377,6,2,8,False
moldovan,1.0702,1.3377,6,2,8,False
factory,1.0702,1.3377,6,2,8,False
secondary,1.0702,1.3377,6,2,8,False
smile,1.0702,1.3377,6,2,8,False
useful,1.0702,1.3377,6,2,8,False
agent,1.0702,1.3377,6,2,8,False
armenia,1.0702,1.3377,6,2,8,False
plane,1.0702,1.3377,6,2,8,False
biden,1.0702,1.3377,6,2,8,False
bit,1.0702,1.3377,6,2,8,False
discharge,1.0702,1.3377,6,2,8,False
road,1.0702,1.3377,6,2,8,False
liberation,1.0702,1.3377,6,2,8,False
mineral,1.0702,1.3377,6,2,8,False
range,0.5305,1.3368,17,10,27,False
agreement,0.3247,1.3334,40,29,69,False
middle,0.6165,1.3228,13,7,20,False
finance,0.6165,1.3228,13,7,20,False
add,0.6165,1.3228,13,7,20,False
time,0.1522,1.3106,160,138,298,False
rada,0.4291,1.2968,23,15,38,False
turks,4.1148,1.2907,6,0,6,False
ultimatum,4.1148,1.2907,6,0,6,False
brezhnev,4.1148,1.2907,6,0,6,False
turkmen,4.1148,1.2907,6,0,6,False
presidents,4.1148,1.2907,6,0,6,False
pleased,4.1148,1.2907,6,0,6,False
patriotic,4.1148,1.2907,6,0,6,False
kick,4.1148,1.2907,6,0,6,False
kuleba,4.1148,1.2907,6,0,6,False
fotodom,4.1148,1.2907,6,0,6,False
cis,4.1148,1.2907,6,0,6,False
pick,4.1148,1.2907,6,0,6,False
mouth,4.1148,1.2907,6,0,6,False
moratorium,4.1148,1.2907,6,0,6,False
fairy,4.1148,1.2907,6,0,6,False
hole,4.1148,1.2907,6,0,6,False
sap,4.1148,1.2907,6,0,6,False
rejoice,4.1148,1.2907,6,0,6,False
tripartite,4.1148,1.2907,6,0,6,False
liar,4.1148,1.2907,6,0,6,False
podolak,4.1148,1.2907,6,0,6,False
unscathed,4.1148,1.2907,6,0,6,False
romanov,4.1148,1.2907,6,0,6,False
cardinal,4.1148,1.2907,6,0,6,False
crawl,4.1148,1.2907,6,0,6,False
shutterstock,4.1148,1.2907,6,0,6,False
journal,4.1148,1.2907,6,0,6,False
silovists,4.1148,1.2907,6,0,6,False
donnie,4.1148,1.2907,6,0,6,False
friedrich,4.1148,1.2907,6,0,6,False
conniving,4.1148,1.2907,6,0,6,False
signing,4.1148,1.2907,6,0,6,False
uzbekistan,4.1148,1.2907,6,0,6,False
dmitro,4.1148,1.2907,6,0,6,False
spit,4.1148,1.2907,6,0,6,False
pocrowsk,4.1148,1.2907,6,0,6,False
negative,4.1148,1.2907,6,0,6,False
diyanet,4.1148,1.2907,6,0,6,False
owner,4.1148,1.2907,6,0,6,False
drown,4.1148,1.2907,6,0,6,False
cent,4.1148,1.2907,6,0,6,False
postin,4.1148,1.2907,6,0,6,False
svu,4.1148,1.2907,6,0,6,False
svo,4.1148,1.2907,6,0,6,False
subscriber,4.1148,1.2907,6,0,6,False
rip,4.1148,1.2907,6,0,6,False
resignation,4.1148,1.2907,6,0,6,False
relation,0.5583,1.2662,14,8,22,False
traditional,0.6872,1.2651,10,5,15,False
map,0.6872,1.2651,10,5,15,False
hungary,0.6872,1.2651,10,5,15,False
argument,0.6872,1.2651,10,5,15,False
mind,0.6872,1.2651,10,5,15,False
upu,3.9357,1.2326,5,0,5,False
