entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
germany,WEST_ACTORS,russia,RU_POLITICAL,5,27,1301,0.0038,-0.5689
donetsk,UKR_POLITICAL,ukraine,UKR_POLITICAL,5,15,1613,0.0031,-0.031
eu,WEST_ACTORS,poland,WEST_ACTORS,5,692,21,0.0071,0.7044
iaea,INTL_ACTORS,un,INTL_ACTORS,5,26,1502,0.0033,-0.7217
nato,WEST_ACTORS,putin,RU_POLITICAL,5,82,178,0.0196,0.6981
china,INTL_ACTORS,usa,WEST_ACTORS,5,42,246,0.0177,1.1965
turkey,INTL_ACTORS,un,INTL_ACTORS,5,12,1502,0.0033,0.3937
putin,RU_POLITICAL,zelensky,UKR_POLITICAL,5,178,40,0.0235,1.7337
germany,WEST_ACTORS,usa,WEST_ACTORS,5,27,246,0.0187,1.834
usa,WEST_ACTORS,yermak,UKR_POLITICAL,5,246,10,0.0199,3.2669
france,WEST_ACTORS,usa,WEST_ACTORS,5,20,246,0.0192,2.2669
kremlin,RU_POLITICAL,putin,RU_POLITICAL,5,50,178,0.0224,1.4118
eu,WEST_ACTORS,turkey,INTL_ACTORS,5,692,12,0.0072,1.5118
eu,WEST_ACTORS,kremlin,RU_POLITICAL,5,692,50,0.0068,-0.5471
iaea,INTL_ACTORS,moscow,RU_POLITICAL,4,26,80,0.0392,3.1871
afu,UKR_MILITARY,russia,RU_POLITICAL,4,4,1301,0.0031,1.864
germany,WEST_ACTORS,poland,WEST_ACTORS,4,27,21,0.0909,5.0622
azov,UKR_MILITARY,moscow,RU_POLITICAL,4,20,80,0.0417,3.5656
yermak,UKR_POLITICAL,zelensky,UKR_POLITICAL,4,10,40,0.087,5.5656
france,WEST_ACTORS,moscow,RU_POLITICAL,4,20,80,0.0417,3.5656
france,WEST_ACTORS,ukraine,UKR_POLITICAL,4,20,1613,0.0025,-0.768
kharkiv,UKR_POLITICAL,russia,RU_POLITICAL,4,13,1301,0.0031,0.1636
china,INTL_ACTORS,moscow,RU_POLITICAL,4,42,80,0.0339,2.4952
kiev,UKR_POLITICAL,zaporizhzhia,UKR_POLITICAL,4,63,29,0.0455,3.3742
trump,WEST_ACTORS,zelensky,UKR_POLITICAL,4,101,40,0.0292,2.2293
kiev,UKR_POLITICAL,usa,WEST_ACTORS,4,63,246,0.0131,0.2897
turkey,INTL_ACTORS,ukraine,UKR_POLITICAL,4,12,1613,0.0025,-0.031
civilians,CIVILIANS,usa,WEST_ACTORS,4,55,246,0.0135,0.4856
un,INTL_ACTORS,wagner,RU_MILITARY,3,1502,3,0.002,1.6568
russia,RU_POLITICAL,wagner,RU_MILITARY,3,1301,3,0.0023,1.864
germany,WEST_ACTORS,moscow,RU_POLITICAL,3,27,80,0.0288,2.7176
france,WEST_ACTORS,poland,WEST_ACTORS,3,20,21,0.0789,5.0802
crimea,UKR_POLITICAL,donetsk,UKR_POLITICAL,3,35,15,0.0638,4.7582
crimea,UKR_POLITICAL,eu,WEST_ACTORS,3,35,692,0.0041,-0.7695
moscow,RU_POLITICAL,usa,WEST_ACTORS,3,80,246,0.0093,-0.47
kremlin,RU_POLITICAL,usa,WEST_ACTORS,3,50,246,0.0102,0.208
moscow,RU_POLITICAL,zaporizhzhia,UKR_POLITICAL,3,80,29,0.0283,2.6145
eu,WEST_ACTORS,zelensky,UKR_POLITICAL,3,692,40,0.0041,-0.9621
