entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
idf,ISR_MILITARY,israel,ISR_POLITICAL,7,27,425,0.0157,-0.0413
qatar,INTL_ACTORS,usa,INTL_ACTORS,7,35,173,0.0348,0.881
hostages,CIVILIANS,un,INTL_ACTORS,7,18,462,0.0148,0.4232
hostages,CIVILIANS,israel,ISR_POLITICAL,7,18,425,0.0161,0.5436
israel,ISR_POLITICAL,qatar,INTL_ACTORS,6,425,35,0.0132,-0.6381
hamas,PAL_ORG,qatar,INTL_ACTORS,6,109,35,0.0435,1.325
gaza,PAL_RESISTANCE,turkey,INTL_ACTORS,6,178,40,0.0283,0.4248
saudi arabia,INTL_ACTORS,usa,INTL_ACTORS,6,28,173,0.0308,0.9805
netanyahu,ISR_POLITICAL,qatar,INTL_ACTORS,6,49,35,0.0769,2.4785
qatar,INTL_ACTORS,trump,INTL_ACTORS,6,35,104,0.0451,1.3928
egypt,INTL_ACTORS,israel,ISR_POLITICAL,6,25,425,0.0135,-0.1527
idf,ISR_MILITARY,usa,INTL_ACTORS,5,27,173,0.0256,0.7699
hamas,PAL_ORG,hostages,CIVILIANS,5,109,18,0.041,2.0213
gaza,PAL_RESISTANCE,syria,INTL_ACTORS,5,178,61,0.0214,-0.447
iran,INTL_ACTORS,netanyahu,ISR_POLITICAL,5,205,49,0.0201,-0.3347
gaza,PAL_RESISTANCE,netanyahu,ISR_POLITICAL,5,178,49,0.0225,-0.131
gaza,PAL_RESISTANCE,idf,ISR_MILITARY,4,178,27,0.0199,0.4069
egypt,INTL_ACTORS,gaza,PAL_RESISTANCE,4,25,178,0.0201,0.5179
idf,ISR_MILITARY,iran,INTL_ACTORS,4,27,205,0.0175,0.2032
iran,INTL_ACTORS,saudi arabia,INTL_ACTORS,4,205,28,0.0175,0.1507
lebanon,INTL_ACTORS,un,INTL_ACTORS,4,12,462,0.0085,0.2008
iran,INTL_ACTORS,qatar,INTL_ACTORS,4,205,35,0.0169,-0.1712
israel,ISR_POLITICAL,lebanon,INTL_ACTORS,4,425,12,0.0092,0.3212
hostages,CIVILIANS,trump,INTL_ACTORS,4,18,104,0.0339,1.7672
qatar,INTL_ACTORS,saudi arabia,INTL_ACTORS,4,35,28,0.0678,2.7009
hezbollah,INTL_ACTORS,israel,ISR_POLITICAL,4,17,425,0.0091,-0.1813
trump,INTL_ACTORS,turkey,INTL_ACTORS,4,104,40,0.0286,0.6152
hostages,CIVILIANS,pa,PAL_POLITICAL,4,18,326,0.0118,0.1189
hezbollah,INTL_ACTORS,un,INTL_ACTORS,4,17,462,0.0084,-0.3017
hamas,PAL_ORG,idf,ISR_MILITARY,3,109,27,0.0226,0.6994
iran,INTL_ACTORS,turkey,INTL_ACTORS,3,205,40,0.0124,-0.7789
saudi arabia,INTL_ACTORS,trump,INTL_ACTORS,3,28,104,0.0233,0.7147
lebanon,INTL_ACTORS,usa,INTL_ACTORS,3,12,173,0.0165,1.2029
lebanon,INTL_ACTORS,syria,INTL_ACTORS,3,12,61,0.0429,2.7068
civilians,CIVILIANS,un,INTL_ACTORS,3,4,462,0.0065,1.3707
lebanon,INTL_ACTORS,pa,PAL_POLITICAL,3,12,326,0.009,0.2888
gaza,PAL_RESISTANCE,lebanon,INTL_ACTORS,3,178,12,0.016,1.1618
gaza,PAL_RESISTANCE,hezbollah,INTL_ACTORS,3,178,17,0.0156,0.6593
egypt,INTL_ACTORS,pa,PAL_POLITICAL,3,25,326,0.0086,-0.7701
iran,INTL_ACTORS,lebanon,INTL_ACTORS,3,205,12,0.014,0.9581
israel,ISR_POLITICAL,saudi arabia,INTL_ACTORS,3,425,28,0.0067,-1.3162
biden,INTL_ACTORS,un,INTL_ACTORS,3,5,462,0.0065,1.0488
idf,ISR_MILITARY,syria,INTL_ACTORS,3,27,61,0.0353,1.5369
syria,INTL_ACTORS,trump,INTL_ACTORS,3,61,104,0.0185,-0.4087
hezbollah,INTL_ACTORS,syria,INTL_ACTORS,3,17,61,0.04,2.2043
netanyahu,ISR_POLITICAL,turkey,INTL_ACTORS,3,49,40,0.0349,1.2859
hamas,PAL_ORG,netanyahu,ISR_POLITICAL,3,109,49,0.0194,-0.1604
egypt,INTL_ACTORS,turkey,INTL_ACTORS,3,25,40,0.0484,2.2567
