source,target,verb,sentiment,passive,label_s,label_o
usa,israel,force,0.0,False,INTL_ACTORS,ISR_POLITICAL
un,usa,rely,0.0,False,INTL_ACTORS,INTL_ACTORS
israel,un,escape,-0.9032679796218872,False,ISR_POLITICAL,INTL_ACTORS
pa,civilians,face,0.0,False,PAL_POLITICAL,CIVILIANS
pa,un,give,0.0,False,PAL_POLITICAL,INTL_ACTORS
pa,netanyahu,enable,0.0,False,PAL_POLITICAL,ISR_POLITICAL
israel,usa,urge,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,usa,place,-0.7311822175979614,False,ISR_POLITICAL,INTL_ACTORS
pa,un,transform,0.0,False,PAL_POLITICAL,INTL_ACTORS
israel,palestine,view,0.0,False,ISR_POLITICAL,PAL_POLITICAL
un,pa,need,0.0,False,INTL_ACTORS,PAL_POLITICAL
hamas,pa,reserve,0.0,False,PAL_ORG,PAL_POLITICAL
pa,un,respect,-0.8004847764968872,True,PAL_POLITICAL,INTL_ACTORS
israel,pa,exploit,0.0,False,ISR_POLITICAL,PAL_POLITICAL
idf,usa,close,-0.7786460518836975,False,ISR_MILITARY,INTL_ACTORS
gaza,palestine,surpass,-0.6917126178741455,False,PAL_RESISTANCE,PAL_POLITICAL
israel,un,transcend,-0.8872722387313843,False,ISR_POLITICAL,INTL_ACTORS
hamas,gaza,control,-0.8182413578033447,False,PAL_ORG,PAL_RESISTANCE
hamas,pa,have,-0.7578923106193542,False,PAL_ORG,PAL_POLITICAL
hamas,gaza,control,-0.8182413578033447,False,PAL_ORG,PAL_RESISTANCE
netanyahu,pa,have,0.8286275863647461,False,ISR_POLITICAL,PAL_POLITICAL
usa,pa,begin,0.0,False,INTL_ACTORS,PAL_POLITICAL
usa,un,launch,0.517953634262085,False,INTL_ACTORS,INTL_ACTORS
pa,un,drag,-0.6578050851821899,False,PAL_POLITICAL,INTL_ACTORS
israel,pa,present,-0.6360894441604614,False,ISR_POLITICAL,PAL_POLITICAL
usa,israel,prioritize,-0.6470181941986084,False,INTL_ACTORS,ISR_POLITICAL
gaza,israel,blame,-0.7013932466506958,False,PAL_RESISTANCE,ISR_POLITICAL
gaza,hamas,see,-0.6908111572265625,False,PAL_RESISTANCE,PAL_ORG
un,usa,characterize,-0.5391288995742798,True,INTL_ACTORS,INTL_ACTORS
pa,israel,push,-0.6385672092437744,False,PAL_POLITICAL,ISR_POLITICAL
pa,un,welcome,0.7153773903846741,True,PAL_POLITICAL,INTL_ACTORS
un,gaza,protect,-0.9011125564575195,False,INTL_ACTORS,PAL_RESISTANCE
israel,usa,seek,0.0,False,ISR_POLITICAL,INTL_ACTORS
usa,un,have,0.0,False,INTL_ACTORS,INTL_ACTORS
israel,pa,want,0.0,False,ISR_POLITICAL,PAL_POLITICAL
pa,un,commit,-0.7755557298660278,False,PAL_POLITICAL,INTL_ACTORS
israel,un,demonstrate,-0.7234488725662231,False,ISR_POLITICAL,INTL_ACTORS
israel,un,view,-0.5089893937110901,False,ISR_POLITICAL,INTL_ACTORS
un,usa,harm,-0.5209179520606995,False,INTL_ACTORS,INTL_ACTORS
usa,israel,defend,0.0,False,INTL_ACTORS,ISR_POLITICAL
israel,usa,draw,-0.495840460062027,False,ISR_POLITICAL,INTL_ACTORS
usa,israel,reflect,-0.6874774694442749,False,INTL_ACTORS,ISR_POLITICAL
israel,usa,fear,0.0,False,ISR_POLITICAL,INTL_ACTORS
un,usa,include,0.0,False,INTL_ACTORS,INTL_ACTORS
israel,palestine,manage,0.0,False,ISR_POLITICAL,PAL_POLITICAL
pa,israel,expose,-0.6818527579307556,False,PAL_POLITICAL,ISR_POLITICAL
