source,target,verb,sentiment,passive,label_s,label_o
israel,idf,claim,-0.7464290261268616,False,ISR_POLITICAL,ISR_MILITARY
israel,usa,need,-0.8229418396949768,False,ISR_POLITICAL,INTL_ACTORS
pa,israel,place,0.9329535365104675,False,PAL_POLITICAL,ISR_POLITICAL
un,hamas,adopt,-0.611339807510376,False,INTL_ACTORS,PAL_ORG
hamas,gaza,rule,-0.6952039003372192,False,PAL_ORG,PAL_RESISTANCE
gaza,pa,change,0.0,False,PAL_RESISTANCE,PAL_POLITICAL
israel,gaza,turn,-0.8329759240150452,False,ISR_POLITICAL,PAL_RESISTANCE
un,hamas,act,-0.6798951029777527,False,INTL_ACTORS,PAL_ORG
israel,gaza,bombard,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
israel,gaza,observe,-0.638982892036438,False,ISR_POLITICAL,PAL_RESISTANCE
un,pa,threaten,0.0,False,INTL_ACTORS,PAL_POLITICAL
un,hamas,empower,-0.6257938146591187,False,INTL_ACTORS,PAL_ORG
